Well   X  Y	KB	TD
HW-1         69895     61474     466    9117
HW-2         97263    113263    1133    9943
HW-3         52211     84211     160    8299
HW-4         52632     95579      29    8625
HW-5         66947     98947      36    8640
HW-6         55158     91789      49    8396
HW-7         34526     80000     367    8984
HW-8         26947     72421     416    9103
HW-9         30737     56421     492    9074
HW-10        32421     66105     397    8920
HW-11        72421    109895      34    8677
HW-12        69053    110316      74    8685
HW-13        77895    114947      30    8428
HW-14        72421    117053      42    8518
HW-15       101895    138526      74    8637
HW-16        74947     68211     397    8905
HW-17        63158    118737      69    8850
HW-18        31579     44211     474    9350
HW-19        58947     32000     336    8904
HW-20        56000     40000     322    8918
HW-21        89263    118737     150    8682
HW-22        75789     82947     356    9287
HW-23        65263     74526     424    9256
HW-24        62316     84211     426    8867
HW-25        61895     88421     386    8728
HW-26        67368     91789     375    8932
HW-27        53474     56842     453    9114
HW-28        58947     69895     430    9025
HW-29        49263     71579     466    8682
HW-30        47579     66947     590    8848
HW-31        59789     73263     417    9081
HW-32        55579     75368     441    8873
HW-33        95579    122105     138    8594
HW-35        55579    148211      77    8435
HW-36        74947    130526      79    8632
HW-37        49263    150316      74    8563
HW-38        45053    155789      89    8880
HW-39        65684    144421     499    8687
HW-40        74947    140632    1312    9297
HW-41        93053    134316      82    8371
HW-42        53474    135158      75    8529
HW-44        85895    143158      71    7533
