,WELLNAME,X,Y,Z_top,Z_bottom,YEAR,TYPE,KB,TD
0,Inj-1,49374.99817699126,75374.99859609125,7688.272461,7786.164185,2025,injector,0,10000
1,Inj-2,49374.99817699126,77874.9966910913,7626.077271,7719.181396,2025,injector,0,10000
2,Inj-3,54374.99912949123,75374.99859609125,7999.930298,8081.996826,2026,injector,0,10000
3,Inj-4,54374.99912949123,77874.9966910913,7896.249878,7976.912231,2026,injector,0,10000
4,Inj-5,44374.998415040056,75374.99859609125,7472.89563,7577.164551,2027,injector,0,10000
5,Inj-6,44374.998415040056,77874.9966910913,7515.501953,7614.002319,2027,injector,0,10000
6,Inj-7,54374.99912949123,82874.99764359127,7804.365234,7893.036987,2028,injector,0,10000
7,Inj-8,54374.99912949123,85374.99811968887,7817.909546,7906.099121,2028,injector,0,10000
8,Inj-9,59374.99770058888,82874.99764359127,7977.619385,8072.011963,2029,injector,0,10000
9,Inj-10,59374.99770058888,85374.99811968887,7958.065674,8051.237183,2029,injector,0,10000
10,Inj-11,49374.99817699126,82874.99764359127,7628.32251,7714.805664,2030,injector,0,10000
11,Inj-12,49374.99817699126,85374.99811968887,7693.110962,7776.376343,2030,injector,0,10000
12,Inj-13,39374.99865308885,72874.99752441447,7618.172607,7717.654419,2030,injector,0,10000
13,Inj-14,39374.99865308885,75374.99859609125,7669.496216,7764.618652,2030,injector,0,10000
14,Inj-15,44374.998415040056,82874.99764359127,7659.064575,7745.066772,2031,injector,0,10000
15,Inj-16,44374.998415040056,85374.99811968887,7761.873779,7843.281494,2031,injector,0,10000
16,Inj-17,44374.998415040056,67874.99776246327,7664.381836,7777.065796,2031,injector,0,10000
17,Inj-18,44374.998415040056,70374.99764359128,7535.721558,7647.436768,2031,injector,0,10000
18,Inj-19,49374.99817699126,67874.99776246327,7904.844849,8014.258667,2032,injector,0,10000
19,Inj-20,49374.99817699126,70374.99764359128,7834.26648,7942.325806,2032,injector,0,10000
20,Inj-21,64374.99865308885,87874.99621468893,7997.077393,8085.339722,2032,injector,0,10000
21,Inj-22,64374.99865308885,90374.99669109129,8015.104492,8098.432983,2032,injector,0,10000
22,Inj-23,59374.99770058888,90374.99669109129,7943.43042,8028.567017,2033,injector,0,10000
23,Inj-24,59374.99770058888,92874.99716718889,8033.971558,8114.454468,2033,injector,0,10000
24,Inj-25,54374.99912949123,90374.99669109129,7890.313355,7971.716064,2033,injector,0,10000
25,Inj-26,50624.998415040056,89124.99764359127,7849.160889,7929.250488,2033,injector,0,10000
26,Inj-27,49374.99817699126,90374.99669109129,7946.414429,8024.703369,2034,injector,0,10000
27,Inj-28,50624.998415040056,91624.9969291401,8011.499023,8089.345093,2034,injector,0,10000
28,Inj-29,39374.99865308885,65374.99788164007,7833.382935,7933.592407,2034,injector,0,10000
29,Inj-30,39374.99865308885,67874.99776246327,7732.571777,7834.407959,2034,injector,0,10000
30,Inj-31,39374.99865308885,70374.99764359128,7641.192871,7742.890015,2034,injector,0,10000
31,Inj-32,40624.99889144244,69124.99740523768,7633.614502,7738.848999,2034,injector,0,10000
32,Inj-33,43124.99817699126,69124.99740523768,7587.557983,7698.313232,2034,injector,0,10000
33,Inj-34,45624.99865308885,69124.99740523768,7627.814209,7741.320923,2034,injector,0,10000
34,Inj-35,48124.99912949123,69124.99740523768,7770.88208,7882.374634,2034,injector,0,10000
35,Inj-36,35624.999129491225,71624.99788164007,7925.409424,8017.276977,2035,injector,0,10000
36,Inj-37,35624.999129491225,74124.99776246327,7962.427734,8051.68335,2035,injector,0,10000
37,Inj-38,35624.999129491225,64124.99794107607,7990.943604,8079.514282,2035,injector,0,10000
38,Inj-39,35624.999129491225,66624.99811968885,7957.282593,8048.081055,2035,injector,0,10000
39,Inj-40,38124.99841504005,66624.99811968885,7829.439941,7927.258545,2035,injector,0,10000
40,Inj-41,38124.99841504005,69124.99740523768,7750.629761,7849.300293,2035,injector,0,10000
41,Inj-42,38124.99841504005,71624.99788164007,7703.761353,7801.448486,2035,injector,0,10000
